Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
deviate,verb,to be different,The company decided to deviate its expansion plans.,,Est. Medium,Est. Mid
fixedly,adverb,"for a long time without changing, especially to conceal other feelings",She responded fixedly to the unexpected news.,,Est. Medium,Est. Mid
abdomen,noun,the part of the body of a vertebrate containing the digestive and reproductive organs,The abdomen plays a crucial role in student development.,,Est. Medium,Est. Mid
malign,adjective,evil in nature or effect,The malign policy gained bipartisan support.,,Est. Medium,Est. Mid
publicity,noun,media attention,The publicity made everyday tasks easier.,,Est. Advanced,Est. Low
anesthetic,adjective,inducing or relating to insensitivity to pain n. a substance that induces insensitivity to pain.,The anesthetic design won industry awards.,,Est. Advanced,Est. Low
overlook,verb,to fail to,Animals overlook when environmental conditions change.,,Est. Medium,Est. Mid
relieve,verb,to remove or reduce an unpleasant feeling or pain,The artist chose to relieve traditional techniques.,,Est. Medium,Est. Mid
stifling,adjective,making you feel unable to breathe,The team's stifling strategy secured victory.,,Est. Medium,Est. Mid
sprint,verb,"to run or swim a short distance very fast n. a short period of running, swimming, etc. very fast",Historians sprint primary sources for accuracy.,,Est. Medium,Est. Mid
vilify,verb,defame,Doctors vilify treatment based on test results.,,Est. Medium,Est. Mid
encumbrance,noun,burden,The encumbrance affected quarterly earnings.,,Est. Advanced,Est. Low
mercy,noun,a kind or forgiving attitude towards somebody that you have the power to harm or right to punish,Scientists studied the mercy under controlled conditions.,,Est. Core,Est. High
align,verb,into correct or appropriate relative positions,The company's actions must align with its stated values.,,Est. Core,Est. High
nimbly,adverb,with quick and easy movements,She responded nimbly to the unexpected news.,,Est. Medium,Est. Mid
sin,noun,an offence against God or against a religious or moral law v. to break a religious or moral law,The sin made everyday tasks easier.,,Est. Core,Est. High
helicopter,noun,an aircraft without wings that has large blades on top that go round v. transport by helicopter,This helicopter represents a breakthrough in computing.,,Est. Advanced,Est. Low
metabolic,adjective,related to the chemical processes that occur within a living organism in order to maintain life,The metabolic landscape attracted tourists.,,Est. Advanced,Est. Low
forestall,verb,"to exclude, hinder, or prevent by prior occupation or measures",The artist chose to forestall traditional techniques.,,Est. Advanced,Est. Low
amusement,noun,the state or experience of finding something funny,The team's amusement determined the championship outcome.,,Est. Advanced,Est. Low
inspiration,noun,a person or thing that is the reason why somebody creates or does something,The inspiration marked a turning point in civilization.,,Est. Advanced,Est. Low
germane,adjective,connected with something in an important or appropriate way,The germane symptoms indicated a rare condition.,,Est. Medium,Est. Mid
ricochet,verb,to hit a surface and come off it fast at a different angle,The company decided to ricochet its expansion plans.,,Est. Medium,Est. Mid
vicissitude,noun,"one of the many changes and problems in a situation or in your life, that you have to deal with",Scientists studied the vicissitude under controlled conditions.,,Est. Advanced,Est. Low
blatant,adjective,noisy especially in a vulgar or offensive manner,Her blatant approach engaged students.,,Est. Medium,Est. Mid
voluble,adjective,"talking a lot, and with enthusiasm, about a subject",The voluble policy gained bipartisan support.,,Est. Medium,Est. Mid
complexion,noun,the natural colour of the skin on a person s face,The complexion made everyday tasks easier.,,Est. Advanced,Est. Low
disciple,noun,follower,This disciple represents a breakthrough in computing.,,Est. Medium,Est. Mid
submerge,verb,to go under the surface of water or liquid,Animals submerge when environmental conditions change.,,Est. Medium,Est. Mid
connoisseur,noun,"an expert on matters involving the judgement of beauty, quality or skill in art, food or music",The connoisseur inspired a new artistic movement.,,Est. Advanced,Est. Low
humanoid,adjective,behaving and looking like a human n. a machine or creature that looks and behaves like a human,The team's humanoid strategy secured victory.,,Est. Medium,Est. Mid
inauguration,noun,a special ceremony at which a new public official or leader is introduced,The inauguration marked a turning point in civilization.,,Est. Advanced,Est. Low
foreboding,noun,a strong feeling that something unpleasant or dangerous is going to happen,Understanding the foreboding helps improve patient care.,,Est. Advanced,Est. Low
interrogate,verb,"to ask somebody a lot of questions over a long period of time, especially in an aggressive way",The company decided to interrogate its expansion plans.,,Est. Advanced,Est. Low
foresee,verb,to think something is going to happen in the future,Researchers foresee the hypothesis through experimentation.,,Est. Medium,Est. Mid
reprise,noun,a repetition or further performance of something v. repeat,The reprise plays a crucial role in student development.,,Est. Medium,Est. Mid
restorative,adjective,"making you feel strong and healthy again n. a thing that makes you feel better, stronger, etc.",The restorative policy gained bipartisan support.,,Est. Advanced,Est. Low
punctuate,verb,to break into or interrupt at intervals,She learned to punctuate her daily routine.,,Est. Advanced,Est. Low
demeaning,adjective,humiliating,The demeaning design won industry awards.,,Est. Advanced,Est. Low
itching,noun,an uncomfortable sensation on the skin,The itching is essential for ecosystem balance.,,Est. Medium,Est. Mid
recant,verb,"to say, often publicly, that you no longer have the same belief or opinion that you had before",The artist chose to recant traditional techniques.,,Est. Medium,Est. Mid
magnitude,noun,the great size or importance of something,The team's magnitude determined the championship outcome.,,Est. Advanced,Est. Low
carve,verb,"divide a company, an area of land, etc. into smaller parts in order to share it between people",The sculptor carved a masterpiece from marble.,,Est. Core,Est. High
inundate,verb,flood,Doctors inundate treatment based on test results.,,Est. Medium,Est. Mid
hypocrisy,noun,a feigning to be what one is not,The hypocrisy affected quarterly earnings.,,Est. Advanced,Est. Low
insult,verb,"to treat with insolence, indignity, or contempt",Researchers insult the hypothesis through experimentation.,,Est. Medium,Est. Mid
bigot,noun,a person who is obstinately or intolerantly devoted to his or her own opinions and prejudices,The bigot plays a crucial role in student development.,,Est. Core,Est. High
prospect,noun,"the possibility that something will happen v. to search an area for gold, minerals, oil, etc.",The prospect influenced voter turnout.,,Est. Medium,Est. Mid
isotherm,noun,a line on a weather map that joins places that have the same temperature at a particular time,The isotherm made everyday tasks easier.,,Est. Medium,Est. Mid
latch,noun,a small metal bar that is used to fasten a door or a gate v. to fasten something with a latch,This latch represents a breakthrough in computing.,,Est. Core,Est. High
unconscionabl,adjective,"so bad, immoral, etc. that it should make people feel ashamed",The unconscionabl landscape attracted tourists.,,Est. Advanced,Est. Low
coolness,noun,"the ability to stay calm, and not get excited, angry or emotional",The coolness inspired a new artistic movement.,calmness; aloofness,Est. Medium,Est. Mid
depict,verb,"to describe something in words, or give an impression of something in words or with a picture",Athletes must depict their training intensity.,,Est. Medium,Est. Mid
menial,adjective,not considered important,The menial artifact revealed ancient practices.,,Est. Medium,Est. Mid
mediation,noun,"intervention between conflicting parties to promote reconciliation, settlement, or compromise",Understanding the mediation helps improve patient care.,,Est. Advanced,Est. Low
unwieldy,adjective,"not easily managed, handled, or used",The unwieldy proposal impressed investors.,,Est. Medium,Est. Mid
vestige,noun,trace,Scientists studied the vestige under controlled conditions.,,Est. Medium,Est. Mid
whimsy,noun,"a way of thinking that is unusual and not serious, in a way that is either funny or annoying",The whimsy plays a crucial role in student development.,,Est. Medium,Est. Mid
enlist,verb,to persuade somebody to help you or to join you in doing something,The senator will enlist the proposed legislation.,,Est. Medium,Est. Mid
buff,noun,fan,The buff made everyday tasks easier.,,Est. Core,Est. High
municipality,noun,"a town, city or district with its own local government",This municipality represents a breakthrough in computing.,,Est. Advanced,Est. Low
oust,verb,"to force somebody out of a job or position of power, especially in order to take their place",Animals oust when environmental conditions change.,,Est. Core,Est. High
aurora,noun,"reddish or greenish light in the sky, especially near the northern or southern magnetic pole",The aurora inspired a new artistic movement.,,Est. Medium,Est. Mid
likeness,noun,"resemblance, being similar to another person or thing",The team's likeness determined the championship outcome.,,Est. Medium,Est. Mid
address,verb,speak to,Historians address primary sources for accuracy.,,Est. Medium,Est. Mid
platitude,noun,a comment or statement that has been made very often before and is therefore not interesting,Understanding the platitude helps improve patient care.,,Est. Advanced,Est. Low
indignation,noun,a feeling of anger and surprise caused by something that you think is unfair or unreasonable,The indignation affected quarterly earnings.,,Est. Advanced,Est. Low
vicariously,adverb,"by watching or reading about somebody else doing something, rather than by doing it yourself",She responded vicariously to the unexpected news.,,Est. Advanced,Est. Low
identify,verb,to recognize somebody/something and be able to say who or what they are,Teachers identify student progress throughout the semester.,,Est. Medium,Est. Mid
declaim,verb,"to speak loudly and with force about something you feel strongly about, especially in public",The senator will declaim the proposed legislation.,,Est. Medium,Est. Mid
devout,adjective,believing strongly in a particular religion and obeying its laws and practices,His devout attitude made him popular.,,Est. Medium,Est. Mid
chimerical,adjective,existing only as the product of unchecked imagination,The chimerical design won industry awards.,,Est. Advanced,Est. Low
precocious,adjective,having developed particular abilities and ways of behaving at a much younger age than usual,The precocious landscape attracted tourists.,,Est. Advanced,Est. Low
satiety,noun,"the state or feeling of being completely full of food, or of having had enough of something",The satiety inspired a new artistic movement.,,Est. Medium,Est. Mid
abjure,verb,renounce,Athletes must abjure their training intensity.,,Est. Medium,Est. Mid
construe,verb,interpret,Historians construe primary sources for accuracy.,interpret; understand,Est. Medium,Est. Mid
exult,verb,to feel and show that you are very excited and happy because of something that has happened,Doctors exult treatment based on test results.,,Est. Core,Est. High
exemption,noun,official permission not to do something or pay something,The exemption affected quarterly earnings.,,Est. Advanced,Est. Low
awe,noun,feelings of respect and slight fear,Scientists studied the awe under controlled conditions.,,Est. Core,Est. High
pandemonium,noun,chaos,The pandemonium plays a crucial role in student development.,,Est. Advanced,Est. Low
reign,noun,"the period during which a king, queen, emperor, etc. rules v. to rule",The reign influenced voter turnout.,,Est. Core,Est. High
observant,adjective,"good at noticing things around you, sharp- eyed",His observant attitude made him popular.,,Est. Advanced,Est. Low
trope,noun,a figurative or metaphorical use of a word or expression,This trope represents a breakthrough in computing.,,Est. Core,Est. High
dynamics,noun,the way in which people or things behave and react to each other in a particular situation,The dynamics is essential for ecosystem balance.,,Est. Medium,Est. Mid
adapt,verb,"alter to make it suitable for filming, broadcasting, or the stage",The artist chose to adapt traditional techniques.,,Est. Core,Est. High
moribund,adjective,no longer effective and about to come to an end completely,The team's moribund strategy secured victory.,,Est. Medium,Est. Mid
dissonance,noun,lack of agreement or harmony between people or things,The dissonance marked a turning point in civilization.,,Est. Advanced,Est. Low
tangible,adjective,"capable of being perceived, especially by the sense of touch",The tangible symptoms indicated a rare condition.,,Est. Medium,Est. Mid
fluctuation,noun,an irregular rising and falling in number or amount,The fluctuation affected quarterly earnings.,,Est. Advanced,Est. Low
diapause,noun,"a period of suspended development, especially during unfavorable environmental conditions.",Scientists studied the diapause under controlled conditions.,,Est. Medium,Est. Mid
binary,adjective,using a system of numerical notation that has 2 rather than 10 as a base,Her binary approach engaged students.,,Est. Medium,Est. Mid
rampant,adjective,"marked by a menacing wildness, extravagance, or absence of restraint",The rampant policy gained bipartisan support.,,Est. Medium,Est. Mid
counsellor,noun,"a person who has been trained to advise people with problems, especially personal problems",The counsellor made everyday tasks easier.,,Est. Advanced,Est. Low
intrude,verb,to enter into something in a way that is not wanted or to have an unpleasant effect on it,Engineers intrude the system for optimal performance.,,Est. Medium,Est. Mid
retention,noun,"the continued possession, use, or control of something",The retention is essential for ecosystem balance.,,Est. Advanced,Est. Low
detect,verb,"to discover or notice something, especially something that is not easy to",The artist chose to detect traditional techniques.,identify; discern; pinpoint,Est. Medium,Est. Mid
circuitous,adjective,having a circular or winding course,The team's circuitous strategy secured victory.,,Est. Advanced,Est. Low
austere,adjective,simple and plain,The austere artifact revealed ancient practices.,,Est. Medium,Est. Mid
admonish,verb,to express warning or disapproval to,Doctors admonish treatment based on test results.,,Est. Medium,Est. Mid
self-defeating,adjective,counterproductive,The self-defeating proposal impressed investors.,counterproductive adj.,Est. Advanced,Est. Low
outrage,noun,a strong feeling of shock and anger,Scientists studied the outrage under controlled conditions.,,Est. Medium,Est. Mid
evocatively,adverb,"in a way that makes you think of or remember a strong image or feeling, in a pleasant way",She responded evocatively to the unexpected news.,,Est. Advanced,Est. Low
contemplate,verb,"think deeply about, consider",The senator will contemplate the proposed legislation.,,Est. Advanced,Est. Low
derive,verb,"to take, receive, or obtain especially",She learned to derive her daily routine.,,Est. Medium,Est. Mid
senile,adjective,"behaving in a confused or strange way, and unable to remember things, because you are old",The senile design won industry awards.,,Est. Medium,Est. Mid
cocoon,noun,a cover or case of silk threads v. wrap,The cocoon is essential for ecosystem balance.,,Est. Medium,Est. Mid
disposal,noun,"removal, throwing away",The disposal inspired a new artistic movement.,,Est. Medium,Est. Mid
joint,adjective,involving two or more people together n. a point at which parts of a structure are joined,The team's joint strategy secured victory.,,Est. Core,Est. High
pressing,adjective,"urgent, needing to be dealt with immediately",The pressing artifact revealed ancient practices.,,Est. Medium,Est. Mid
repent,verb,regret,Doctors repent treatment based on test results.,,Est. Medium,Est. Mid
panorama,noun,a complete view of an area in every direction,The panorama affected quarterly earnings.,,Est. Medium,Est. Mid
divert,verb,cause to change course,Researchers divert the hypothesis through experimentation.,,Est. Medium,Est. Mid
oppressive,adjective,treating people in a cruel and unfair way,Her oppressive approach engaged students.,,Est. Advanced,Est. Low
offhand,adjective; adverb,not showing much interest in somebody/something in a way that is rude or upsets somebody,Understanding 'offhand' is essential in this field.,indifferent; nonchalant; perfunctory,Est. Medium,Est. Mid
quarterly,adjective,"produced or happening every three months n. a magazine, etc. published four times a year",His quarterly attitude made him popular.,,Est. Advanced,Est. Low
ancillary,adjective,providing necessary support to the main work or activities of an organization,The ancillary design won industry awards.,incidental; auxiliary,Est. Advanced,Est. Low
principal,adjective,most important,The principal landscape attracted tourists.,,Est. Advanced,Est. Low
tenacious,adjective,persistent,Critics praised the tenacious performance.,,Est. Advanced,Est. Low
diatribe,noun,a long and angry speech or piece of writing attacking and criticizing somebody/something,The team's diatribe determined the championship outcome.,,Est. Medium,Est. Mid
tax,verb,to need a great amount of physical or mental effort,Historians tax primary sources for accuracy.,,Est. Core,Est. High
fetter,verb,to limit somebody s freedom to do what they want,Doctors fetter treatment based on test results.,shackle(),Est. Medium,Est. Mid
gullible,adjective,too willing to believe or accept what other people tell you and therefore easily tricked,The gullible proposal impressed investors.,credulous; impressionable,Est. Medium,Est. Mid
gland,noun,an organ in a person s or an animal s body that produces a substance for the body to use,Scientists studied the gland under controlled conditions.,,Est. Core,Est. High
suitor,noun,a man who wants to marry a particular woman,The suitor plays a crucial role in student development.,,Est. Medium,Est. Mid
condone,verb,"to regard or treat as acceptable, forgivable, or harmless",The senator will condone the proposed legislation.,,Est. Medium,Est. Mid
collaboration,noun,the act of working with another person or group of people to create or produce something,The collaboration made everyday tasks easier.,,Est. Advanced,Est. Low
touchstone,noun,something that provides a standard against which other things are compared and/or judged,This touchstone represents a breakthrough in computing.,,Est. Advanced,Est. Low
cogent,adjective,strongly and clearly expressed in a way that influences what people believe,The cogent landscape attracted tourists.,,Est. Medium,Est. Mid
propensity,noun,inclination,The propensity inspired a new artistic movement.,,Est. Advanced,Est. Low
inflict,verb,to give by or as if by striking,Athletes must inflict their training intensity.,,Est. Medium,Est. Mid
frenetic,adjective,"marked by fast and energetic, disordered, or anxiety-driven activity",The frenetic artifact revealed ancient practices.,,Est. Medium,Est. Mid
monotony,noun,sameness of pitch or tone,Understanding the monotony helps improve patient care.,,Est. Medium,Est. Mid
splotch,noun,"a large mark or spot of ink, paint, mud, etc. v. mark with a blot or smear of something",The splotch affected quarterly earnings.,smudge; spot; blot,Est. Medium,Est. Mid
charisma,noun,the powerful personal quality that some people have to attract and impress other people,Scientists studied the charisma under controlled conditions.,,Est. Medium,Est. Mid
protagonist,noun,"the main character in a play, film or book",The protagonist plays a crucial role in student development.,,Est. Advanced,Est. Low
mesmerizing,adjective,having such a strong effect on you that you cannot give your attention to anything else,The mesmerizing policy gained bipartisan support.,captivating; dazzling; spellbinding,Est. Advanced,Est. Low
tackle,verb,"make determined efforts to deal with n. pulley, gear, the equipment required for a task",She learned to tackle her daily routine.,,Est. Medium,Est. Mid
malnutrition,noun,a poor condition of health caused by a lack of food or a lack of the right type of food,This malnutrition represents a breakthrough in computing.,,Est. Advanced,Est. Low
preemptive,adjective,"done to stop somebody taking action, especially action that will be harmful to yourself",The preemptive landscape attracted tourists.,,Est. Advanced,Est. Low
crude,adjective,"marked by the primitive, gross, or elemental or by uncultivated simplicity or vulgarity",Critics praised the crude performance.,,Est. Core,Est. High
corollary,noun,"a situation, an argument or a fact that is the natural and direct result of another one",The team's corollary determined the championship outcome.,,Est. Advanced,Est. Low
leave,noun,time when one has permission to be absent,The leave marked a turning point in civilization.,,Est. Core,Est. High
overwhelming,adjective,very great or very strong,The overwhelming symptoms indicated a rare condition.,,Est. Advanced,Est. Low
undermine,verb,erode the base or foundation,The company decided to undermine its expansion plans.,,Est. Advanced,Est. Low
pall,noun,something that covers or conceals,Scientists studied the pall under controlled conditions.,,Est. Core,Est. High
institution,noun,"a well-established custom, practice, or person",The institution plays a crucial role in student development.,,Est. Advanced,Est. Low
primate,noun,"any animal that belongs to the group of mammals that includes humans, apes and monkeys",The primate influenced voter turnout.,,Est. Medium,Est. Mid
commitment,noun,promise,The commitment made everyday tasks easier.,,Est. Advanced,Est. Low
gimmick,noun,an unusual trick or device that is intended to attract attention or to persuade people,This gimmick represents a breakthrough in computing.,,Est. Medium,Est. Mid
inanimate,adjective,"not alive in the way that people, animals and plants are",The inanimate landscape attracted tourists.,,Est. Advanced,Est. Low
wince,verb,to suddenly make an facial expression showing that you are embarrassed or feeling pain,The artist chose to wince traditional techniques.,,Est. Core,Est. High
disposition,noun,the natural qualities of a person s character,The team's disposition determined the championship outcome.,,Est. Advanced,Est. Low
reverie,noun,daydream,The reverie marked a turning point in civilization.,,Est. Medium,Est. Mid
self-serving,adjective,serving one's own interests often in disregard of the truth or the interests of others,The self-serving symptoms indicated a rare condition.,,Est. Advanced,Est. Low
unflinching,adjective,"remaining strong and determined, even in a difficult or dangerous situation",The unflinching proposal impressed investors.,,Est. Advanced,Est. Low
enhance,verb,"to increase or further improve the good quality, value or status of somebody/something",Researchers enhance the hypothesis through experimentation.,boost; augment; escalate; reinforce,Est. Medium,Est. Mid
exuberant,adjective,"full of energy, excitement and happiness",Her exuberant approach engaged students.,,Est. Advanced,Est. Low
implausible,adjective,not seeming reasonable or probable,The implausible policy gained bipartisan support.,,Est. Advanced,Est. Low
concerted,adjective,jointly arranged or carried out,His concerted attitude made him popular.,,Est. Advanced,Est. Low
rash,adjective,"reckless, hasty, imprudent, ill-considered n. an area of red spots on a person s skin",The rash design won industry awards.,,Est. Core,Est. High
commission,verb,"to officially ask somebody to write, make or create something or to do a task for you",Animals commission when environmental conditions change.,,Est. Advanced,Est. Low
subversive,adjective,revolutionary,Critics praised the subversive performance.,,Est. Advanced,Est. Low
ambiguity,noun,the state of having more than one possible meaning,The team's ambiguity determined the championship outcome.,,Est. Advanced,Est. Low
hinge,noun,"a piece of metal, plastic, etc. on which a door moves freely v. depend, be contingent",The hinge marked a turning point in civilization.,,Est. Core,Est. High
procrastinate,verb,"to delay doing something that you should do, usually because you do not want to do it",Doctors procrastinate treatment based on test results.,,Est. Advanced,Est. Low
antiquity,noun,"the state of being very old or ancient, especially the times of the Greeks and Romans",The antiquity affected quarterly earnings.,,Est. Advanced,Est. Low
genteel,adjective,"elegant or graceful in manner, appearance, or shape",The genteel results confirmed the theory.,,Est. Medium,Est. Mid
na,noun,"a lack of experience of life, knowledge or good judgement",The na plays a crucial role in student development.,,Est. Core,Est. High
compassion,noun,sympathetic consciousness of others' distress together with a desire to alleviate it,The compassion influenced voter turnout.,,Est. Advanced,Est. Low
exploit,verb,to make productive use of,She learned to exploit her daily routine.,,Est. Medium,Est. Mid
guild,noun,an organization of people who do the same job or who have the same interests or aims,This guild represents a breakthrough in computing.,,Est. Core,Est. High
noxious,adjective,physically harmful or destructive to living beings,The noxious landscape attracted tourists.,,Est. Medium,Est. Mid
durability,noun,the quality of being able to last for a long time without breaking or getting weaker,The durability inspired a new artistic movement.,,Est. Advanced,Est. Low
predominant,adjective,most obvious or easy to notice,The team's predominant strategy secured victory.,,Est. Advanced,Est. Low
vex,verb,"make feel annoyed, frustrated, or worried, especially with trivial matters",Historians vex primary sources for accuracy.,,Est. Core,Est. High
hinder,verb,hamper,Doctors hinder treatment based on test results.,,Est. Medium,Est. Mid
melancholy,adjective,a feeling of being very sad that lasts for a long time and often cannot be explained,The melancholy proposal impressed investors.,,Est. Advanced,Est. Low
behold,verb,,Researchers behold the hypothesis through experimentation.,,Est. Medium,Est. Mid
buffer,verb,"soften, lessen, mitigate, shield, cushion n. cushion, bulwark, shield, screen, guard",Teachers buffer student progress throughout the semester.,,Est. Medium,Est. Mid
genocide,noun,"the deliberate and systematic destruction of a racial, political, or cultural group",The genocide influenced voter turnout.,,Est. Medium,Est. Mid
obfuscate,verb,"to make something less clear and more difficult to understand, usually deliberately",She learned to obfuscate her daily routine.,confuse: fuscdark; fume()fuse(; ),Est. Advanced,Est. Low
decline,noun,"a continuous decrease v. to become smaller, fewer, weaker, etc.",This decline represents a breakthrough in computing.,,Est. Medium,Est. Mid
femininity,noun,the fact of being a woman,The femininity is essential for ecosystem balance.,,Est. Advanced,Est. Low
spew,verb,"to flow out quickly, or to make something flow out quickly, in large amounts",The artist chose to spew traditional techniques.,spit(),Est. Core,Est. High
corroborate,verb,confirm,Athletes must corroborate their training intensity.,,Est. Advanced,Est. Low
fashion,verb,to make or shape something,Historians fashion primary sources for accuracy.,,Est. Medium,Est. Mid
fume,verb,to be very angry about something,Doctors fume treatment based on test results.,,Est. Core,Est. High
scribble,noun,scrawl,The scribble affected quarterly earnings.,,Est. Medium,Est. Mid
indiscriminate,adjective,acting without careful judgement,The indiscriminate results confirmed the theory.,,Est. Advanced,Est. Low
aroma,noun,"a distinctive, typically pleasant smell",The aroma plays a crucial role in student development.,fragrance; odor,Est. Core,Est. High
entreat,verb,"beg, implore, to ask somebody to do something in a serious and often emotional way",The senator will entreat the proposed legislation.,,Est. Medium,Est. Mid
ardent,adjective,passionate,His ardent attitude made him popular.,,Est. Medium,Est. Mid
caution,noun,warning,This caution represents a breakthrough in computing.,,Est. Medium,Est. Mid
reckless,adjective,showing a lack of care about danger and the possible results of your actions,The reckless landscape attracted tourists.,,Est. Medium,Est. Mid
toss,verb,to throw something lightly or carelessly,The artist chose to toss traditional techniques.,,Est. Core,Est. High
invective,noun,rude language and unpleasant remarks that somebody shouts when they are very angry,The team's invective determined the championship outcome.,,Est. Advanced,Est. Low
spurious,adjective,FALSE,The spurious artifact revealed ancient practices.,specious (adj. ),Est. Medium,Est. Mid
window,noun,"a time when there is an opportunity to do something, although it may not last long",Understanding the window helps improve patient care.,,Est. Medium,Est. Mid
spleen,noun,a small organ near the stomach that controls the quality of the blood cells,The spleen affected quarterly earnings.,,Est. Medium,Est. Mid
spur,noun,"stimulus, incentive, inducement v. stimulate, prompt, motivate, galvanize, inspire",Scientists studied the spur under controlled conditions.,,Est. Core,Est. High
jaunty,adjective,cheerful,Her jaunty approach engaged students.,,Est. Medium,Est. Mid
dissent,noun,difference of opinion,The dissent influenced voter turnout.,,Est. Medium,Est. Mid
uniformly,adverb,evenly,She responded uniformly to the unexpected news.,,Est. Advanced,Est. Low
staple,adjective,"main or important, especially in terms of consumption n. basic food",The staple design won industry awards.,mainstay (); essential (; ),Est. Medium,Est. Mid
intercept,verb,to stop somebody/ something that is going,Animals intercept when environmental conditions change.,,Est. Advanced,Est. Low
trim,verb,to cut away unnecessary parts,The artist chose to trim traditional techniques.,embellish,Est. Core,Est. High
misgiving,noun,a feeling of doubt or apprehension about the outcome or consequences of something,The team's misgiving determined the championship outcome.,doubt; hesitation; concern,Est. Advanced,Est. Low
succulent,adjective,juicy,The succulent artifact revealed ancient practices.,,Est. Advanced,Est. Low
eclectic,adjective,not following one style or set of ideas but choosing,The eclectic symptoms indicated a rare condition.,,Est. Medium,Est. Mid
sedentary,adjective,spending a lot of time sitting down,The sedentary proposal impressed investors.,,Est. Advanced,Est. Low
persist,verb,to continue exist,Researchers persist the hypothesis through experimentation.,,Est. Medium,Est. Mid
ostensible,adjective,"apparent, seeming or stated to be real or true, when this is perhaps not the case",Her ostensible approach engaged students.,,Est. Advanced,Est. Low
untimely,adjective,happening or done at an unsuitable time,The untimely policy gained bipartisan support.,,Est. Medium,Est. Mid
reclaim,verb,retrieve or recover,She learned to reclaim her daily routine.,,Est. Medium,Est. Mid
strife,noun,n.conflict,Years of strife have torn the region apart.,,Est. Medium,Est. Mid
redolent,adjective,making you think of the thing mentioned,The redolent landscape attracted tourists.,,Est. Medium,Est. Mid
eradicate,verb,wipe out,The artist chose to eradicate traditional techniques.,,Est. Advanced,Est. Low
facade,noun,the front of a building,The team's facade determined the championship outcome.,,Est. Medium,Est. Mid
obsequious,adjective,servile,The obsequious artifact revealed ancient practices.,,Est. Advanced,Est. Low
amendment,noun,"a minor change or addition designed to improve a text, piece of legislation, etc.",Understanding the amendment helps improve patient care.,,Est. Advanced,Est. Low
sort,noun,"type, kind, group v. to arrange things in groups or in a particular order",The sort affected quarterly earnings.,,Est. Core,Est. High
backward,adjective,directed or moving towards the back,The backward results confirmed the theory.,,Est. Medium,Est. Mid
momentum,noun,the ability to keep increasing or developing,The momentum plays a crucial role in student development.,,Est. Medium,Est. Mid
elixir,noun,a magic liquid that is believed to cure illnesses or to make people live forever,The elixir influenced voter turnout.,panacea (); antidote(),Est. Medium,Est. Mid
choreographer,noun,a person who composes the sequence of steps and moves for a performance of dance,The choreographer made everyday tasks easier.,,Est. Advanced,Est. Low
advocacy,noun,"public support, advice and help given to an idea, a course of action or a belief",This advocacy represents a breakthrough in computing.,,Est. Medium,Est. Mid
long,verb,to want something very much especially if it does not seem likely to happen soon,Animals long when environmental conditions change.,,Est. Core,Est. High
obsession,noun,a persistent disturbing preoccupation with an often unreasonable idea or feeling,The obsession inspired a new artistic movement.,,Est. Advanced,Est. Low
obliterate,verb,"to remove all signs of something, either by destroying or covering it completely",Athletes must obliterate their training intensity.,,Est. Advanced,Est. Low
abstemious,adjective,"not allowing yourself to have much food or alcohol, or to do things that are fun",The abstemious artifact revealed ancient practices.,,Est. Advanced,Est. Low
mob,noun,"a large crowd of people, especially one that may become violent or cause trouble",Understanding the mob helps improve patient care.,,Est. Core,Est. High
reconcile,verb,restore friendly relations between,The company decided to reconcile its expansion plans.,,Est. Advanced,Est. Low
impressive,adjective,"evoking admiration through size, quality, or skill",The impressive results confirmed the theory.,,Est. Advanced,Est. Low
foretell,verb,"to know or say what will happen in the future, especially by using magic powers",Teachers foretell student progress throughout the semester.,,Est. Medium,Est. Mid
oddity,noun,a strange or peculiar person or thing,The oddity influenced voter turnout.,,Est. Medium,Est. Mid
desultory,adjective,going,His desultory attitude made him popular.,,Est. Advanced,Est. Low
regenerate,verb,"to make an area, institution, etc. develop and grow strong again",Engineers regenerate the system for optimal performance.,,Est. Advanced,Est. Low
reproach,noun,"rebuke, scolding, lecture, censure v. rebuke, reprimand, chide, blame, denounce",The reproach is essential for ecosystem balance.,,Est. Medium,Est. Mid
perish,verb,"die, especially in a violent or sudden way",The artist chose to perish traditional techniques.,,Est. Medium,Est. Mid
oblivion,noun,being forgotten,The team's oblivion determined the championship outcome.,,Est. Medium,Est. Mid
antipathy,noun,a strong feeling of dislike,The antipathy marked a turning point in civilization.,,Est. Advanced,Est. Low
rebuke,verb,to speak severely to somebody because they have done something wrong,Doctors rebuke treatment based on test results.,,Est. Medium,Est. Mid
vanish,verb,to disappear suddenly and/or in a way that you cannot explain,The company decided to vanish its expansion plans.,,Est. Medium,Est. Mid
unfold,verb,open or spread out,Researchers unfold the hypothesis through experimentation.,unwind,Est. Medium,Est. Mid
masculinity,noun,the fact of being a man,The masculinity plays a crucial role in student development.,,Est. Advanced,Est. Low
bulwark,noun,a person or thing that protects or defends something,The bulwark influenced voter turnout.,,Est. Medium,Est. Mid
retaliate,verb,to do something harmful to somebody because they have harmed you first,She learned to retaliate her daily routine.,,Est. Advanced,Est. Low
critique,noun,a detailed analysis and assessment v. evaluate in a detailed and analytical way,This critique represents a breakthrough in computing.,,Est. Medium,Est. Mid
