Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
abide,verb,"bear, stand",Financial advisors abide conservative investment strategies.,,Core,High
wobbly,adjective,not properly fixed in place so that it moves,The wobbly conditions lasted several weeks.,,Medium,Mid
orchestral,adjective,of an orchestra,The orchestral situation demanded immediate action.,,Advanced,Low
patriarch,noun,the oldest member or representative of a group,The patriarch proved more complex than initially anticipated.,,Advanced,Low
obituary,noun,"an article about somebody s life and achievements, that is printed in a newspaper soon after they have died",Each obituary required separate documentation and approval.,,Medium,Mid
underestimate,verb,"to estimate as being less than the actual size, quantity, or number",Scientists underestimate their hypothesis through experimentation.,,Advanced,Low
requisite,noun,"something that you need for a particular purpose adj. essential, necessary, needed for a particular purpose",Success depends on understanding the requisite.,,Advanced,Low
notch,noun,a V-shape or a circle cut in an edge or a surface,Competition revealed each participant's notch.,,Core,High
indoctrinate,verb,to force somebody to accept a particular belief or set of beliefs and not allow them to consider any others,Researchers indoctrinate the data before publication.,,Advanced,Low
scenario,noun,a description of how things might happen in the future,Budget constraints limited the scenario.,,Medium,Mid
foreground,verb,to give particular importance to something n. the part of a view that is nearest to the observer,Doctors foreground treatment based on patient response.,,Advanced,Low
allegory,noun,"a story, play, picture, etc. in which each character or event is a symbol representing an idea or a quality",Historical records documented the allegory.,,Medium,Mid
furtive,adjective,stealthy,Weather remained furtive during the expedition.,,Medium,Mid
promulgate,verb,"to spread an idea, a belief, etc. among many people",Recent studies promulgate previous assumptions about climate patterns.,,Advanced,Low
disorient,verb,to make somebody unable to recognize where they are or where they should go,Engineers disorient the bridge design after stress tests.,,Advanced,Low
abhor,verb,loathe,Financial advisors abhor conservative investment strategies.,,Core,High
attentive,adjective,paying close attention to something,The attentive conditions lasted several weeks.,,Advanced,Low
demolish,verb,to pull or knock down a building,Historians demolish the accuracy of ancient texts.,,Medium,Mid
spontaneous,adjective,not planned but done because you suddenly want to do it,The team showed spontaneous improvement over time.,,Advanced,Low
shroud,noun,a piece of cloth that a dead person s body is wrapped in before it is buried v. to cover or hide something,Each shroud required separate documentation and approval.,,Medium,Mid
saw,noun,a tool that has a long blade with sharp points along one of its edges vt. to cut with a saw,Researchers studied the saw under laboratory conditions.,,Core,High
nettle,noun,a wild plant with leaves that have stinging hairs vt. to arouse to sharp but transitory annoyance or anger,Success depends on understanding the nettle.,annoy; bother; irritate; nag; pester,Medium,Mid
stature,noun,the importance and respect that a person has because of their ability and achievements,Competition revealed each participant's stature.,,Medium,Mid
constellation,noun,a group of stars that forms a shape in the sky and has a name,The constellation became apparent during testing.,,Advanced,Low
pastoral,adjective,"showing country life or the countryside, especially in a romantic way",The pastoral design won several awards.,,Medium,Mid
subterfuge,noun,a deceptive device or stratagem,The team's subterfuge improved over time.,,Advanced,Low
clich,noun,a phrase or an idea that has been used so often that it no longer has much meaning and is not interesting,Historical records documented the clich.,,Core,High
versatile,adjective,able to adapt or be adapted to many different functions or activities,Weather remained versatile during the expedition.,,Advanced,Low
evaluate,verb,assess,Recent studies evaluate previous assumptions about climate patterns.,,Medium,Mid
grimace,noun,"an ugly expression made by twisting your face, used to show pain, dislike, etc. or to make somebody laugh",Analysis revealed a significant grimace in the data.,,Medium,Mid
pragmatic,adjective,solving problems in a practical and sensible way rather than by having fixed ideas or theories,Budget constraints made expansion pragmatic.,practical; realistic: impractical; unrealistic; idealistic,Advanced,Low
establish,verb,set up,Museums establish artifacts from private collectors.,,Advanced,Low
foil,verb,"stop, thwart, frustrate n. metal made into very thin sheets that is used for covering or wrapping things",Historians foil the accuracy of ancient texts.,,Core,High
orthodox,adjective,generally accepted or approved of,The team showed orthodox improvement over time.,,Medium,Mid
revamp,verb,"to make changes to the form of something, usually to improve its appearance",Teachers revamp different learning styles in lesson plans.,,Medium,Mid
hybridization,noun,the process of breeding together animals or plants of different species or varieties to produce a hybrid,Researchers studied the hybridization under laboratory conditions.,,Advanced,Low
stern,adjective,"strict, serious, and often showing that you do not approve of somebody/ something",Market conditions remained stern throughout the year.,,Core,High
compound,verb,to make something bad become even worse by causing further damage or problems,Athletes compound their training during off-season.,,Medium,Mid
redemption,noun,the act of saving or state of being saved,The redemption became apparent during testing.,,Advanced,Low
tortuous,adjective,full of bends,The tortuous design won several awards.,,Medium,Mid
countenance,noun,a person s face or their expression vt. to support something or agree to something happening,The team's countenance improved over time.,,Advanced,Low
melodramatic,adjective,full of exciting and extreme emotions or events,The melodramatic evidence supported the theory.,theatrical adj.,Advanced,Low
reductive,adjective,"tending to present a subject or problem in a simplified form, especially one viewed as crude",Weather remained reductive during the expedition.,simplistic,Advanced,Low
retort,verb,"to reply quickly to a comment, in an angry, offended or humorous way n. a quick, angry or humorous reply",Recent studies retort previous assumptions about climate patterns.,,Medium,Mid
retrace,verb,trace back to its source or beginning,Engineers retrace the bridge design after stress tests.,,Medium,Mid
prompt,verb,cause or bring about,Financial advisors prompt conservative investment strategies.,,Medium,Mid
susceptible,adjective,"very likely to be influenced, harmed or affected by something",The susceptible conditions lasted several weeks.,,Advanced,Low
enliven,verb,"make more entertaining, interesting, or appealing",Historians enliven the accuracy of ancient texts.,,Medium,Mid
form,noun,shape,The form proved more complex than initially anticipated.,,Core,High
engage,verb,to succeed in attracting and keeping somebody s attention,Teachers engage different learning styles in lesson plans.,,Medium,Mid
advance,verb,propose,Scientists advance their hypothesis through experimentation.,,Medium,Mid
disposable,adjective,designed to be used once or only a limited number of times and then thrown away,Market conditions remained disposable throughout the year.,,Advanced,Low
accessory,adjective,"additional, extra, supplementary, auxiliary, ancillary n. attachment, addition, embellishment, ornament",The accessory proposal gained widespread support.,,Advanced,Low
frenzy,noun,a state of great activity and strong emotion that is often violent or frightening and not under control,The frenzy became apparent during testing.,,Medium,Mid
currency,noun,the system of money that a country uses,Budget constraints limited the currency.,,Medium,Mid
ramification,noun,consequence,The team's ramification improved over time.,,Advanced,Low
counter,verb,oppose n. a level surface over which transactions are conducted adv. in an opposite or wrong direction,Students counter their study habits before finals.,,Medium,Mid
peninsula,noun,an area of land that is almost surrounded by water but is joined to a larger piece of land,The peninsula emerged as a critical factor.,,Advanced,Low
droop,verb,"to bend, hang or move downwards, especially because of being weak or tired",Recent studies droop previous assumptions about climate patterns.,,Core,High
acquisition,noun,obtaining,Analysis revealed a significant acquisition in the data.,,Advanced,Low
repay,verb,pay back,Financial advisors repay conservative investment strategies.,,Core,High
rue,verb,regret,Museums rue artifacts from private collectors.,,Core,High
lofty,adjective,very high and impressive,The lofty situation demanded immediate action.,sublime; exalted; majestic; grandiose,Core,High
levity,noun,behaviour that shows a lack of respect for something serious and that treats it with humour,The levity proved more complex than initially anticipated.,,Medium,Mid
profound,adjective,very great,His profound reasoning convinced the board members.,,Medium,Mid
repertoire,noun,"all the plays, songs, pieces of music, etc. that a performer knows and can perform",Researchers studied the repertoire under laboratory conditions.,,Advanced,Low
dredge,verb,"manage to remember something that has been forgotten, especially something unpleasant or embarrassing",Journalists dredged up the mayor's past financial troubles.,,Medium,Mid
trickle,noun,"a small amount of liquid, flowing slowly v. to flow slowly in a thin stream",Competition revealed each participant's trickle.,,Medium,Mid
mindset,noun,mentality,The mindset became apparent during testing.,,Medium,Mid
complacent,adjective,"too satisfied with yourself or with a situation, so that you do not feel that any change is necessary",The complacent design won several awards.,,Advanced,Low
crash,noun,collision,The team's crash improved over time.,wreck(); collision (),Core,High
recruit,verb,"to find new people to join a company, an organization, the armed forces, etc. n. new member, newcomer",Students recruit their study habits before finals.,,Medium,Mid
subtle,adjective,not very obvious or easy to notice,Weather remained subtle during the expedition.,,Medium,Mid
flight,noun,a plane making a particular journey,The flight influenced the committee's final decision.,,Medium,Mid
provisional,adjective,"arranged or existing for the present, possibly to be changed later",The provisional response surprised most observers.,,Advanced,Low
entitled,adjective,feeling that you have a right to the good things in life without necessarily having to work for them,Budget constraints made expansion entitled.,,Medium,Mid
explicit,adjective,"stated clearly and in detail, leaving no room for confusion or doubt",The explicit conditions lasted several weeks.,,Medium,Mid
conniving,adjective,behaving in a way that secretly hurts others or deliberately fails to prevent others,The conniving situation demanded immediate action.,,Advanced,Low
hurdle,noun,a problem or difficulty that must be solved or dealt with before you can achieve something,The hurdle proved more complex than initially anticipated.,,Medium,Mid
toll,noun,a tax or fee paid for some liberty or privilege,Each toll required separate documentation and approval.,,Core,High
provoke,verb,"stimulate to do or feel something, especially by arousing anger in them",Scientists provoke their hypothesis through experimentation.,,Medium,Mid
neurotic,adjective,"not behaving in a reasonable, calm way, because you are worried about something n. a neurotic person",Market conditions remained neurotic throughout the year.,,Medium,Mid
exclusively,adverb,"for only one particular person, group or use",The situation changed exclusively after the announcement.,,Advanced,Low
defamatory,adjective,intended to harm somebody by saying or writing bad or false things about them,Students found the defamatory explanation helpful.,,Advanced,Low
glib,adjective,marked by ease and fluency in speaking or writing often to the point of being insincere or deceitful,The glib design won several awards.,,Core,High
credence,noun,belief in something as true,The team's credence improved over time.,,Medium,Mid
glut,noun,an excessive quantity,Historical records documented the glut.,,Core,High
womb,noun,the organ in women and female animals in which babies or young animals develop before they are born,The womb emerged as a critical factor.,,Core,High
intersperse,verb,scatter among or between other things,Recent studies intersperse previous assumptions about climate patterns.,,Advanced,Low
censor,verb,"to remove the parts of a book, film, etc. that are considered to be offensive or a political threat",Engineers censor the bridge design after stress tests.,,Medium,Mid
flimsy,adjective,badly made and not strong enough for the purpose for which it is used,Budget constraints made expansion flimsy.,tenuous; weak,Medium,Mid
frugal,adjective,using only as much money or food as is necessary,The frugal conditions lasted several weeks.,thrifty; economical,Medium,Mid
debacle,noun,an event or a situation that is a complete failure and causes people to feel ashamed or embarrassed,Evidence clearly supported the debacle.,,Medium,Mid
urbane,adjective,good at knowing what to say and how to behave in social situations,The team showed urbane improvement over time.,,Medium,Mid
mundane,adjective,lacking interest or excitement,His mundane reasoning convinced the board members.,,Medium,Mid
dilettante,noun,a person who does or studies something but is not serious about it and does not have much knowledge,Researchers studied the dilettante under laboratory conditions.,amateur (am love),Advanced,Low
toil,verb,"to work very hard and/or for a long time, usually doing hard physical work n. hard, unpleasant work",Administrators toil the new policy immediately.,,Core,High
pathological,adjective,not reasonable or sensible,The pathological proposal gained widespread support.,,Advanced,Low
invigorating,adjective,making somebody feel healthy and full of energy,Students found the invigorating explanation helpful.,,Advanced,Low
umpire,noun,referee,Budget constraints limited the umpire.,referee n.,Medium,Mid
ripple,verb,cause to form small waves,Doctors ripple treatment based on patient response.,,Medium,Mid
turnout,noun,number of people who vote in a particular election,Historical records documented the turnout.,,Medium,Mid
articulate,verb,express,Officials articulate the proposal after public hearings.,,Advanced,Low
sprawl,noun,a large area covered with buildings that spreads,The sprawl influenced the committee's final decision.,,Medium,Mid
wobble,verb,to move,Engineers wobble the bridge design after stress tests.,,Medium,Mid
inform,verb,"to tell somebody about something, especially in an official way",Financial advisors inform conservative investment strategies.,,Medium,Mid
criterion,noun,"a standard or principle by which something is judged, or with the help of which a decision is made",The research criterion took three years to complete.,,Advanced,Low
originate,verb,to happen or appear for the first time in a particular place or situation,Historians originate the accuracy of ancient texts.,,Advanced,Low
yen,noun,a strong desire or propensity,The yen proved more complex than initially anticipated.,,Core,High
shrink,verb,become or make smaller in size or amount,Teachers shrink different learning styles in lesson plans.,,Medium,Mid
confidant,noun,"a person with whom one shares a secret or private matter, trusting them not to repeat it to others",Researchers studied the confidant under laboratory conditions.,,Advanced,Low
dormant,adjective,temporarily inactive,Market conditions remained dormant throughout the year.,,Medium,Mid
objection,noun,a reason why you do not like or are opposed to something,Competition revealed each participant's objection.,,Advanced,Low
pension,noun,an amount of money paid regularly by a government or company to somebody who has retired,The pension became apparent during testing.,,Medium,Mid
deploy,verb,move into position for military action,Companies deploy customer feedback to improve products.,,Medium,Mid
metamorphosis,noun,a process in which somebody/something changes completely into something different,The team's metamorphosis improved over time.,,Advanced,Low
mourn,verb,to feel and show that you are sad because somebody has died or because something no longer exists,Students mourn their study habits before finals.,,Core,High
exonerate,verb,to officially state that somebody is not responsible for something that they have been blamed for,Officials exonerate the proposal after public hearings.,,Advanced,Low
euphemism,noun,an indirect word or phrase that people often use to refer to something embarrassing or unpleasant,The euphemism influenced the committee's final decision.,,Advanced,Low
ornate,adjective,"covered with a lot of decoration, especially when this involves very small or complicated designs",The ornate response surprised most observers.,,Medium,Mid
restless,adjective,"unable to stay still or be happy where you are, because you are bored or need a change",Budget constraints made expansion restless.,,Medium,Mid
diverge,verb,to separate and go in different directions,Museums diverge artifacts from private collectors.,,Medium,Mid
deviate,verb,to be different,Historians deviate the accuracy of ancient texts.,,Medium,Mid
fixedly,adverb,"for a long time without changing, especially to conceal other feelings",The team performed fixedly under pressure.,,Medium,Mid
abdomen,noun,the part of the body of a vertebrate containing the digestive and reproductive organs,Each abdomen required separate documentation and approval.,,Medium,Mid
malign,adjective,evil in nature or effect,The malign results confirmed initial predictions.,,Medium,Mid
publicity,noun,media attention,Success depends on understanding the publicity.,,Advanced,Low
anesthetic,adjective,inducing or relating to insensitivity to pain n. a substance that induces insensitivity to pain.,The anesthetic proposal gained widespread support.,,Advanced,Low
overlook,verb,to fail to,Researchers overlook the data before publication.,,Medium,Mid
relieve,verb,to remove or reduce an unpleasant feeling or pain,Companies relieve customer feedback to improve products.,,Medium,Mid
stifling,adjective,making you feel unable to breathe,Their stifling strategy proved effective.,,Medium,Mid
sprint,verb,"to run or swim a short distance very fast n. a short period of running, swimming, etc. very fast",Students sprint their study habits before finals.,,Medium,Mid
vilify,verb,defame,Officials vilify the proposal after public hearings.,,Medium,Mid
encumbrance,noun,burden,The encumbrance influenced the committee's final decision.,,Advanced,Low
mercy,noun,a kind or forgiving attitude towards somebody that you have the power to harm or right to punish,Analysis revealed a significant mercy in the data.,,Core,High
align,verb,into correct or appropriate relative positions,Company practices must align with stated ethical standards.,,Core,High
nimbly,adverb,with quick and easy movements,Students worked nimbly on the project.,,Medium,Mid
sin,noun,an offence against God or against a religious or moral law v. to break a religious or moral law,Evidence clearly supported the sin.,,Core,High
helicopter,noun,an aircraft without wings that has large blades on top that go round v. transport by helicopter,The helicopter proved more complex than initially anticipated.,,Advanced,Low
metabolic,adjective,related to the chemical processes that occur within a living organism in order to maintain life,His metabolic reasoning convinced the board members.,,Advanced,Low
forestall,verb,"to exclude, hinder, or prevent by prior occupation or measures",Scientists forestall their hypothesis through experimentation.,,Advanced,Low
amusement,noun,the state or experience of finding something funny,Success depends on understanding the amusement.,,Advanced,Low
inspiration,noun,a person or thing that is the reason why somebody creates or does something,Competition revealed each participant's inspiration.,,Advanced,Low
germane,adjective,connected with something in an important or appropriate way,Students found the germane explanation helpful.,,Medium,Mid
ricochet,verb,to hit a surface and come off it fast at a different angle,Companies ricochet customer feedback to improve products.,,Medium,Mid
vicissitude,noun,"one of the many changes and problems in a situation or in your life, that you have to deal with",The team's vicissitude improved over time.,,Advanced,Low
blatant,adjective,noisy especially in a vulgar or offensive manner,The blatant evidence supported the theory.,,Medium,Mid
voluble,adjective,"talking a lot, and with enthusiasm, about a subject",Weather remained voluble during the expedition.,,Medium,Mid
complexion,noun,the natural colour of the skin on a person s face,The complexion influenced the committee's final decision.,,Advanced,Low
disciple,noun,follower,Analysis revealed a significant disciple in the data.,,Medium,Mid
submerge,verb,to go under the surface of water or liquid,Financial advisors submerge conservative investment strategies.,,Medium,Mid
connoisseur,noun,"an expert on matters involving the judgement of beauty, quality or skill in art, food or music",The research connoisseur took three years to complete.,,Advanced,Low
humanoid,adjective,behaving and looking like a human n. a machine or creature that looks and behaves like a human,The humanoid situation demanded immediate action.,,Medium,Mid
inauguration,noun,a special ceremony at which a new public official or leader is introduced,The inauguration proved more complex than initially anticipated.,,Advanced,Low
foreboding,noun,a strong feeling that something unpleasant or dangerous is going to happen,Each foreboding required separate documentation and approval.,,Advanced,Low
interrogate,verb,"to ask somebody a lot of questions over a long period of time, especially in an aggressive way",Scientists interrogate their hypothesis through experimentation.,,Advanced,Low
foresee,verb,to think something is going to happen in the future,Administrators foresee the new policy immediately.,,Medium,Mid
reprise,noun,a repetition or further performance of something v. repeat,Competition revealed each participant's reprise.,,Medium,Mid
restorative,adjective,"making you feel strong and healthy again n. a thing that makes you feel better, stronger, etc.",Students found the restorative explanation helpful.,,Advanced,Low
punctuate,verb,to break into or interrupt at intervals,Companies punctuate customer feedback to improve products.,,Advanced,Low
demeaning,adjective,humiliating,Their demeaning strategy proved effective.,,Advanced,Low
itching,noun,an uncomfortable sensation on the skin,Historical records documented the itching.,,Medium,Mid
recant,verb,"to say, often publicly, that you no longer have the same belief or opinion that you had before",Officials recant the proposal after public hearings.,,Medium,Mid
magnitude,noun,the great size or importance of something,The magnitude influenced the committee's final decision.,,Advanced,Low
carve,verb,"divide a company, an area of land, etc. into smaller parts in order to share it between people",Sculptors carve intricate designs into blocks of marble.,,Core,High
inundate,verb,flood,Financial advisors inundate conservative investment strategies.,,Medium,Mid
hypocrisy,noun,a feigning to be what one is not,The research hypocrisy took three years to complete.,,Advanced,Low
insult,verb,"to treat with insolence, indignity, or contempt",Historians insult the accuracy of ancient texts.,,Medium,Mid
bigot,noun,a person who is obstinately or intolerantly devoted to his or her own opinions and prejudices,The bigot proved more complex than initially anticipated.,,Core,High
prospect,noun,"the possibility that something will happen v. to search an area for gold, minerals, oil, etc.",Each prospect required separate documentation and approval.,,Medium,Mid
isotherm,noun,a line on a weather map that joins places that have the same temperature at a particular time,Researchers studied the isotherm under laboratory conditions.,,Medium,Mid
latch,noun,a small metal bar that is used to fasten a door or a gate v. to fasten something with a latch,Success depends on understanding the latch.,,Core,High
unconscionabl,adjective,"so bad, immoral, etc. that it should make people feel ashamed",The unconscionabl proposal gained widespread support.,,Advanced,Low
coolness,noun,"the ability to stay calm, and not get excited, angry or emotional",The coolness became apparent during testing.,calmness; aloofness,Medium,Mid
depict,verb,"to describe something in words, or give an impression of something in words or with a picture",Companies depict customer feedback to improve products.,,Medium,Mid
menial,adjective,not considered important,Their menial strategy proved effective.,,Medium,Mid
mediation,noun,"intervention between conflicting parties to promote reconciliation, settlement, or compromise",Historical records documented the mediation.,,Advanced,Low
unwieldy,adjective,"not easily managed, handled, or used",Weather remained unwieldy during the expedition.,,Medium,Mid
vestige,noun,trace,The vestige influenced the committee's final decision.,,Medium,Mid
whimsy,noun,"a way of thinking that is unusual and not serious, in a way that is either funny or annoying",Analysis revealed a significant whimsy in the data.,,Medium,Mid
enlist,verb,to persuade somebody to help you or to join you in doing something,Financial advisors enlist conservative investment strategies.,,Medium,Mid
buff,noun,fan,The research buff took three years to complete.,,Core,High
municipality,noun,"a town, city or district with its own local government",Evidence clearly supported the municipality.,,Advanced,Low
oust,verb,"to force somebody out of a job or position of power, especially in order to take their place",Urban planners oust traffic flow through new routes.,,Core,High
aurora,noun,"reddish or greenish light in the sky, especially near the northern or southern magnetic pole",Each aurora required separate documentation and approval.,,Medium,Mid
likeness,noun,"resemblance, being similar to another person or thing",Researchers studied the likeness under laboratory conditions.,,Medium,Mid
address,verb,speak to,Administrators address the new policy immediately.,,Medium,Mid
platitude,noun,a comment or statement that has been made very often before and is therefore not interesting,Competition revealed each participant's platitude.,,Advanced,Low
indignation,noun,a feeling of anger and surprise caused by something that you think is unfair or unreasonable,The indignation became apparent during testing.,,Advanced,Low
vicariously,adverb,"by watching or reading about somebody else doing something, rather than by doing it yourself",The process moved vicariously through each phase.,,Advanced,Low
identify,verb,to recognize somebody/something and be able to say who or what they are,Doctors identify treatment based on patient response.,,Medium,Mid
declaim,verb,"to speak loudly and with force about something you feel strongly about, especially in public",Students declaim their study habits before finals.,,Medium,Mid
devout,adjective,believing strongly in a particular religion and obeying its laws and practices,Weather remained devout during the expedition.,,Medium,Mid
chimerical,adjective,existing only as the product of unchecked imagination,Her chimerical approach solved the complex problem.,,Advanced,Low
precocious,adjective,having developed particular abilities and ways of behaving at a much younger age than usual,The precocious response surprised most observers.,,Advanced,Low
satiety,noun,"the state or feeling of being completely full of food, or of having had enough of something",The satiety affected production schedules throughout the quarter.,,Medium,Mid
abjure,verb,renounce,Museums abjure artifacts from private collectors.,,Medium,Mid
construe,verb,interpret,Historians construe the accuracy of ancient texts.,interpret; understand,Medium,Mid
exult,verb,to feel and show that you are very excited and happy because of something that has happened,Urban planners exult traffic flow through new routes.,,Core,High
exemption,noun,official permission not to do something or pay something,Each exemption required separate documentation and approval.,,Advanced,Low
awe,noun,feelings of respect and slight fear,Researchers studied the awe under laboratory conditions.,,Core,High
pandemonium,noun,chaos,Success depends on understanding the pandemonium.,,Advanced,Low
reign,noun,"the period during which a king, queen, emperor, etc. rules v. to rule",Competition revealed each participant's reign.,,Core,High
observant,adjective,"good at noticing things around you, sharp- eyed",Students found the observant explanation helpful.,,Advanced,Low
trope,noun,a figurative or metaphorical use of a word or expression,Budget constraints limited the trope.,,Core,High
dynamics,noun,the way in which people or things behave and react to each other in a particular situation,The team's dynamics improved over time.,,Medium,Mid
adapt,verb,"alter to make it suitable for filming, broadcasting, or the stage",Students adapt their study habits before finals.,,Core,High
moribund,adjective,no longer effective and about to come to an end completely,Weather remained moribund during the expedition.,,Medium,Mid
dissonance,noun,lack of agreement or harmony between people or things,The dissonance influenced the committee's final decision.,,Advanced,Low
tangible,adjective,"capable of being perceived, especially by the sense of touch",The tangible response surprised most observers.,,Medium,Mid
fluctuation,noun,an irregular rising and falling in number or amount,The fluctuation affected production schedules throughout the quarter.,,Advanced,Low
diapause,noun,"a period of suspended development, especially during unfavorable environmental conditions.",The research diapause took three years to complete.,,Medium,Mid
binary,adjective,using a system of numerical notation that has 2 rather than 10 as a base,The binary situation demanded immediate action.,,Medium,Mid
rampant,adjective,"marked by a menacing wildness, extravagance, or absence of restraint",The team showed rampant improvement over time.,,Medium,Mid
counsellor,noun,"a person who has been trained to advise people with problems, especially personal problems",Each counsellor required separate documentation and approval.,,Advanced,Low
intrude,verb,to enter into something in a way that is not wanted or to have an unpleasant effect on it,Scientists intrude their hypothesis through experimentation.,,Medium,Mid
retention,noun,"the continued possession, use, or control of something",Success depends on understanding the retention.,,Advanced,Low
detect,verb,"to discover or notice something, especially something that is not easy to",Athletes detect their training during off-season.,identify; discern; pinpoint,Medium,Mid
circuitous,adjective,having a circular or winding course,Students found the circuitous explanation helpful.,,Advanced,Low
austere,adjective,simple and plain,The austere design won several awards.,,Medium,Mid
admonish,verb,to express warning or disapproval to,Doctors admonish treatment based on patient response.,,Medium,Mid
self-defeating,adjective,counterproductive,The self-defeating evidence supported the theory.,counterproductive adj.,Advanced,Low
outrage,noun,a strong feeling of shock and anger,The outrage emerged as a critical factor.,,Medium,Mid
evocatively,adverb,"in a way that makes you think of or remember a strong image or feeling, in a pleasant way",She responded evocatively to the unexpected question.,,Advanced,Low
contemplate,verb,"think deeply about, consider",Engineers contemplate the bridge design after stress tests.,,Advanced,Low
derive,verb,"to take, receive, or obtain especially",Financial advisors derive conservative investment strategies.,,Medium,Mid
senile,adjective,"behaving in a confused or strange way, and unable to remember things, because you are old",The senile conditions lasted several weeks.,,Medium,Mid
cocoon,noun,a cover or case of silk threads v. wrap,Evidence clearly supported the cocoon.,,Medium,Mid
disposal,noun,"removal, throwing away",The disposal proved more complex than initially anticipated.,,Medium,Mid
joint,adjective,involving two or more people together n. a point at which parts of a structure are joined,His joint reasoning convinced the board members.,,Core,High
pressing,adjective,"urgent, needing to be dealt with immediately",The pressing results confirmed initial predictions.,,Medium,Mid
repent,verb,regret,Administrators repent the new policy immediately.,,Medium,Mid
panorama,noun,a complete view of an area in every direction,Competition revealed each participant's panorama.,,Medium,Mid
divert,verb,cause to change course,Researchers divert the data before publication.,,Medium,Mid
oppressive,adjective,treating people in a cruel and unfair way,The oppressive design won several awards.,,Advanced,Low
offhand,adjective; adverb,not showing much interest in somebody/something in a way that is rude or upsets somebody,Understanding 'offhand' is essential for academic success.,indifferent; nonchalant; perfunctory,Medium,Mid
quarterly,adjective,"produced or happening every three months n. a magazine, etc. published four times a year",The quarterly evidence supported the theory.,,Advanced,Low
ancillary,adjective,providing necessary support to the main work or activities of an organization,Weather remained ancillary during the expedition.,incidental; auxiliary,Advanced,Low
principal,adjective,most important,Her principal approach solved the complex problem.,,Advanced,Low
tenacious,adjective,persistent,The tenacious response surprised most observers.,,Advanced,Low
diatribe,noun,a long and angry speech or piece of writing attacking and criticizing somebody/something,The diatribe affected production schedules throughout the quarter.,,Medium,Mid
tax,verb,to need a great amount of physical or mental effort,Museums tax artifacts from private collectors.,,Core,High
fetter,verb,to limit somebody s freedom to do what they want,Historians fetter the accuracy of ancient texts.,shackle(),Medium,Mid
gullible,adjective,too willing to believe or accept what other people tell you and therefore easily tricked,The team showed gullible improvement over time.,credulous; impressionable,Medium,Mid
gland,noun,an organ in a person s or an animal s body that produces a substance for the body to use,Each gland required separate documentation and approval.,,Core,High
suitor,noun,a man who wants to marry a particular woman,Researchers studied the suitor under laboratory conditions.,,Medium,Mid
condone,verb,"to regard or treat as acceptable, forgivable, or harmless",Administrators condone the new policy immediately.,,Medium,Mid
collaboration,noun,the act of working with another person or group of people to create or produce something,Competition revealed each participant's collaboration.,,Advanced,Low
touchstone,noun,something that provides a standard against which other things are compared and/or judged,The touchstone became apparent during testing.,,Advanced,Low
cogent,adjective,strongly and clearly expressed in a way that influences what people believe,The cogent design won several awards.,,Medium,Mid
propensity,noun,inclination,The team's propensity improved over time.,,Advanced,Low
inflict,verb,to give by or as if by striking,Students inflict their study habits before finals.,,Medium,Mid
frenetic,adjective,"marked by fast and energetic, disordered, or anxiety-driven activity",Weather remained frenetic during the expedition.,,Medium,Mid
monotony,noun,sameness of pitch or tone,The monotony influenced the committee's final decision.,,Medium,Mid
splotch,noun,"a large mark or spot of ink, paint, mud, etc. v. mark with a blot or smear of something",Analysis revealed a significant splotch in the data.,smudge; spot; blot,Medium,Mid
charisma,noun,the powerful personal quality that some people have to attract and impress other people,The charisma affected production schedules throughout the quarter.,,Medium,Mid
protagonist,noun,"the main character in a play, film or book",The research protagonist took three years to complete.,,Advanced,Low
mesmerizing,adjective,having such a strong effect on you that you cannot give your attention to anything else,The mesmerizing situation demanded immediate action.,captivating; dazzling; spellbinding,Advanced,Low
tackle,verb,"make determined efforts to deal with n. pulley, gear, the equipment required for a task",Urban planners tackle traffic flow through new routes.,,Medium,Mid
malnutrition,noun,a poor condition of health caused by a lack of food or a lack of the right type of food,Each malnutrition required separate documentation and approval.,,Advanced,Low
preemptive,adjective,"done to stop somebody taking action, especially action that will be harmful to yourself",The preemptive results confirmed initial predictions.,,Advanced,Low
crude,adjective,"marked by the primitive, gross, or elemental or by uncultivated simplicity or vulgarity",Market conditions remained crude throughout the year.,,Core,High
corollary,noun,"a situation, an argument or a fact that is the natural and direct result of another one",Competition revealed each participant's corollary.,,Advanced,Low
leave,noun,time when one has permission to be absent,The leave became apparent during testing.,,Core,High
overwhelming,adjective,very great or very strong,The overwhelming design won several awards.,,Advanced,Low
undermine,verb,erode the base or foundation,Doctors undermine treatment based on patient response.,,Advanced,Low
pall,noun,something that covers or conceals,Historical records documented the pall.,,Core,High
institution,noun,"a well-established custom, practice, or person",The institution emerged as a critical factor.,,Advanced,Low
primate,noun,"any animal that belongs to the group of mammals that includes humans, apes and monkeys",The primate influenced the committee's final decision.,,Medium,Mid
commitment,noun,promise,Analysis revealed a significant commitment in the data.,,Advanced,Low
gimmick,noun,an unusual trick or device that is intended to attract attention or to persuade people,The gimmick affected production schedules throughout the quarter.,,Medium,Mid
inanimate,adjective,"not alive in the way that people, animals and plants are",The inanimate conditions lasted several weeks.,,Advanced,Low
wince,verb,to suddenly make an facial expression showing that you are embarrassed or feeling pain,Historians wince the accuracy of ancient texts.,,Core,High
disposition,noun,the natural qualities of a person s character,The disposition proved more complex than initially anticipated.,,Advanced,Low
