Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
prospect,noun,"the possibility that something will happen v. to search an area for gold, minerals, oil, etc.",The prospect influenced voter turnout.,,Medium,Mid
isotherm,noun,a line on a weather map that joins places that have the same temperature at a particular time,The isotherm made everyday tasks easier.,,Medium,Mid
latch,noun,a small metal bar that is used to fasten a door or a gate v. to fasten something with a latch,This latch represents a breakthrough in computing.,,Core,High
unconscionabl,adjective,"so bad, immoral, etc. that it should make people feel ashamed",The unconscionabl landscape attracted tourists.,,Advanced,Low
coolness,noun,"the ability to stay calm, and not get excited, angry or emotional",The coolness inspired a new artistic movement.,calmness; aloofness,Medium,Mid
depict,verb,"to describe something in words, or give an impression of something in words or with a picture",Athletes must depict their training intensity.,,Medium,Mid
menial,adjective,not considered important,The menial artifact revealed ancient practices.,,Medium,Mid
mediation,noun,"intervention between conflicting parties to promote reconciliation, settlement, or compromise",Understanding the mediation helps improve patient care.,,Advanced,Low
unwieldy,adjective,"not easily managed, handled, or used",The unwieldy proposal impressed investors.,,Medium,Mid
vestige,noun,trace,Scientists studied the vestige under controlled conditions.,,Medium,Mid
whimsy,noun,"a way of thinking that is unusual and not serious, in a way that is either funny or annoying",The whimsy plays a crucial role in student development.,,Medium,Mid
enlist,verb,to persuade somebody to help you or to join you in doing something,The senator will enlist the proposed legislation.,,Medium,Mid
buff,noun,fan,The buff made everyday tasks easier.,,Core,High
municipality,noun,"a town, city or district with its own local government",This municipality represents a breakthrough in computing.,,Advanced,Low
oust,verb,"to force somebody out of a job or position of power, especially in order to take their place",Animals oust when environmental conditions change.,,Core,High
aurora,noun,"reddish or greenish light in the sky, especially near the northern or southern magnetic pole",The aurora inspired a new artistic movement.,,Medium,Mid
likeness,noun,"resemblance, being similar to another person or thing",The team's likeness determined the championship outcome.,,Medium,Mid
address,verb,speak to,Historians address primary sources for accuracy.,,Medium,Mid
platitude,noun,a comment or statement that has been made very often before and is therefore not interesting,Understanding the platitude helps improve patient care.,,Advanced,Low
indignation,noun,a feeling of anger and surprise caused by something that you think is unfair or unreasonable,The indignation affected quarterly earnings.,,Advanced,Low
vicariously,adverb,"by watching or reading about somebody else doing something, rather than by doing it yourself",She responded vicariously to the unexpected news.,,Advanced,Low
identify,verb,to recognize somebody/something and be able to say who or what they are,Teachers identify student progress throughout the semester.,,Medium,Mid
declaim,verb,"to speak loudly and with force about something you feel strongly about, especially in public",The senator will declaim the proposed legislation.,,Medium,Mid
devout,adjective,believing strongly in a particular religion and obeying its laws and practices,His devout attitude made him popular.,,Medium,Mid
chimerical,adjective,existing only as the product of unchecked imagination,The chimerical design won industry awards.,,Advanced,Low
precocious,adjective,having developed particular abilities and ways of behaving at a much younger age than usual,The precocious landscape attracted tourists.,,Advanced,Low
satiety,noun,"the state or feeling of being completely full of food, or of having had enough of something",The satiety inspired a new artistic movement.,,Medium,Mid
abjure,verb,renounce,Athletes must abjure their training intensity.,,Medium,Mid
construe,verb,interpret,Historians construe primary sources for accuracy.,interpret; understand,Medium,Mid
exult,verb,to feel and show that you are very excited and happy because of something that has happened,Doctors exult treatment based on test results.,,Core,High
exemption,noun,official permission not to do something or pay something,The exemption affected quarterly earnings.,,Advanced,Low
awe,noun,feelings of respect and slight fear,Scientists studied the awe under controlled conditions.,,Core,High
pandemonium,noun,chaos,The pandemonium plays a crucial role in student development.,,Advanced,Low
reign,noun,"the period during which a king, queen, emperor, etc. rules v. to rule",The reign influenced voter turnout.,,Core,High
observant,adjective,"good at noticing things around you, sharp- eyed",His observant attitude made him popular.,,Advanced,Low
trope,noun,a figurative or metaphorical use of a word or expression,This trope represents a breakthrough in computing.,,Core,High
dynamics,noun,the way in which people or things behave and react to each other in a particular situation,The dynamics is essential for ecosystem balance.,,Medium,Mid
adapt,verb,"alter to make it suitable for filming, broadcasting, or the stage",The artist chose to adapt traditional techniques.,,Core,High
moribund,adjective,no longer effective and about to come to an end completely,The team's moribund strategy secured victory.,,Medium,Mid
dissonance,noun,lack of agreement or harmony between people or things,The dissonance marked a turning point in civilization.,,Advanced,Low
tangible,adjective,"capable of being perceived, especially by the sense of touch",The tangible symptoms indicated a rare condition.,,Medium,Mid
fluctuation,noun,an irregular rising and falling in number or amount,The fluctuation affected quarterly earnings.,,Advanced,Low
diapause,noun,"a period of suspended development, especially during unfavorable environmental conditions.",Scientists studied the diapause under controlled conditions.,,Medium,Mid
binary,adjective,using a system of numerical notation that has 2 rather than 10 as a base,Her binary approach engaged students.,,Medium,Mid
rampant,adjective,"marked by a menacing wildness, extravagance, or absence of restraint",The rampant policy gained bipartisan support.,,Medium,Mid
counsellor,noun,"a person who has been trained to advise people with problems, especially personal problems",The counsellor made everyday tasks easier.,,Advanced,Low
intrude,verb,to enter into something in a way that is not wanted or to have an unpleasant effect on it,Engineers intrude the system for optimal performance.,,Medium,Mid
retention,noun,"the continued possession, use, or control of something",The retention is essential for ecosystem balance.,,Advanced,Low
detect,verb,"to discover or notice something, especially something that is not easy to",The artist chose to detect traditional techniques.,identify; discern; pinpoint,Medium,Mid
circuitous,adjective,having a circular or winding course,The team's circuitous strategy secured victory.,,Advanced,Low
austere,adjective,simple and plain,The austere artifact revealed ancient practices.,,Medium,Mid
admonish,verb,to express warning or disapproval to,Doctors admonish treatment based on test results.,,Medium,Mid
self-defeating,adjective,counterproductive,The self-defeating proposal impressed investors.,counterproductive adj.,Advanced,Low
outrage,noun,a strong feeling of shock and anger,Scientists studied the outrage under controlled conditions.,,Medium,Mid
evocatively,adverb,"in a way that makes you think of or remember a strong image or feeling, in a pleasant way",She responded evocatively to the unexpected news.,,Advanced,Low
contemplate,verb,"think deeply about, consider",The senator will contemplate the proposed legislation.,,Advanced,Low
derive,verb,"to take, receive, or obtain especially",She learned to derive her daily routine.,,Medium,Mid
senile,adjective,"behaving in a confused or strange way, and unable to remember things, because you are old",The senile design won industry awards.,,Medium,Mid
cocoon,noun,a cover or case of silk threads v. wrap,The cocoon is essential for ecosystem balance.,,Medium,Mid
disposal,noun,"removal, throwing away",The disposal inspired a new artistic movement.,,Medium,Mid
joint,adjective,involving two or more people together n. a point at which parts of a structure are joined,The team's joint strategy secured victory.,,Core,High
pressing,adjective,"urgent, needing to be dealt with immediately",The pressing artifact revealed ancient practices.,,Medium,Mid
repent,verb,regret,Doctors repent treatment based on test results.,,Medium,Mid
panorama,noun,a complete view of an area in every direction,The panorama affected quarterly earnings.,,Medium,Mid
divert,verb,cause to change course,Researchers divert the hypothesis through experimentation.,,Medium,Mid
oppressive,adjective,treating people in a cruel and unfair way,Her oppressive approach engaged students.,,Advanced,Low
offhand,adjective; adverb,not showing much interest in somebody/something in a way that is rude or upsets somebody,Understanding 'offhand' is essential in this field.,indifferent; nonchalant; perfunctory,Medium,Mid
quarterly,adjective,"produced or happening every three months n. a magazine, etc. published four times a year",His quarterly attitude made him popular.,,Advanced,Low
ancillary,adjective,providing necessary support to the main work or activities of an organization,The ancillary design won industry awards.,incidental; auxiliary,Advanced,Low
principal,adjective,most important,The principal landscape attracted tourists.,,Advanced,Low
tenacious,adjective,persistent,Critics praised the tenacious performance.,,Advanced,Low
diatribe,noun,a long and angry speech or piece of writing attacking and criticizing somebody/something,The team's diatribe determined the championship outcome.,,Medium,Mid
tax,verb,to need a great amount of physical or mental effort,Historians tax primary sources for accuracy.,,Core,High
fetter,verb,to limit somebody s freedom to do what they want,Doctors fetter treatment based on test results.,shackle(),Medium,Mid
gullible,adjective,too willing to believe or accept what other people tell you and therefore easily tricked,The gullible proposal impressed investors.,credulous; impressionable,Medium,Mid
gland,noun,an organ in a person s or an animal s body that produces a substance for the body to use,Scientists studied the gland under controlled conditions.,,Core,High
suitor,noun,a man who wants to marry a particular woman,The suitor plays a crucial role in student development.,,Medium,Mid
condone,verb,"to regard or treat as acceptable, forgivable, or harmless",The senator will condone the proposed legislation.,,Medium,Mid
collaboration,noun,the act of working with another person or group of people to create or produce something,The collaboration made everyday tasks easier.,,Advanced,Low
touchstone,noun,something that provides a standard against which other things are compared and/or judged,This touchstone represents a breakthrough in computing.,,Advanced,Low
cogent,adjective,strongly and clearly expressed in a way that influences what people believe,The cogent landscape attracted tourists.,,Medium,Mid
propensity,noun,inclination,The propensity inspired a new artistic movement.,,Advanced,Low
inflict,verb,to give by or as if by striking,Athletes must inflict their training intensity.,,Medium,Mid
frenetic,adjective,"marked by fast and energetic, disordered, or anxiety-driven activity",The frenetic artifact revealed ancient practices.,,Medium,Mid
monotony,noun,sameness of pitch or tone,Understanding the monotony helps improve patient care.,,Medium,Mid
splotch,noun,"a large mark or spot of ink, paint, mud, etc. v. mark with a blot or smear of something",The splotch affected quarterly earnings.,smudge; spot; blot,Medium,Mid
charisma,noun,the powerful personal quality that some people have to attract and impress other people,Scientists studied the charisma under controlled conditions.,,Medium,Mid
protagonist,noun,"the main character in a play, film or book",The protagonist plays a crucial role in student development.,,Advanced,Low
mesmerizing,adjective,having such a strong effect on you that you cannot give your attention to anything else,The mesmerizing policy gained bipartisan support.,captivating; dazzling; spellbinding,Advanced,Low
tackle,verb,"make determined efforts to deal with n. pulley, gear, the equipment required for a task",She learned to tackle her daily routine.,,Medium,Mid
malnutrition,noun,a poor condition of health caused by a lack of food or a lack of the right type of food,This malnutrition represents a breakthrough in computing.,,Advanced,Low
preemptive,adjective,"done to stop somebody taking action, especially action that will be harmful to yourself",The preemptive landscape attracted tourists.,,Advanced,Low
crude,adjective,"marked by the primitive, gross, or elemental or by uncultivated simplicity or vulgarity",Critics praised the crude performance.,,Core,High
corollary,noun,"a situation, an argument or a fact that is the natural and direct result of another one",The team's corollary determined the championship outcome.,,Advanced,Low
leave,noun,time when one has permission to be absent,The leave marked a turning point in civilization.,,Core,High
overwhelming,adjective,very great or very strong,The overwhelming symptoms indicated a rare condition.,,Advanced,Low
undermine,verb,erode the base or foundation,The company decided to undermine its expansion plans.,,Advanced,Low
pall,noun,something that covers or conceals,Scientists studied the pall under controlled conditions.,,Core,High
institution,noun,"a well-established custom, practice, or person",The institution plays a crucial role in student development.,,Advanced,Low
primate,noun,"any animal that belongs to the group of mammals that includes humans, apes and monkeys",The primate influenced voter turnout.,,Medium,Mid
commitment,noun,promise,The commitment made everyday tasks easier.,,Advanced,Low
gimmick,noun,an unusual trick or device that is intended to attract attention or to persuade people,This gimmick represents a breakthrough in computing.,,Medium,Mid
inanimate,adjective,"not alive in the way that people, animals and plants are",The inanimate landscape attracted tourists.,,Advanced,Low
wince,verb,to suddenly make an facial expression showing that you are embarrassed or feeling pain,The artist chose to wince traditional techniques.,,Core,High
disposition,noun,the natural qualities of a person s character,The team's disposition determined the championship outcome.,,Advanced,Low
reverie,noun,daydream,The reverie marked a turning point in civilization.,,Medium,Mid
self-serving,adjective,serving one's own interests often in disregard of the truth or the interests of others,The self-serving symptoms indicated a rare condition.,,Advanced,Low
unflinching,adjective,"remaining strong and determined, even in a difficult or dangerous situation",The unflinching proposal impressed investors.,,Advanced,Low
enhance,verb,"to increase or further improve the good quality, value or status of somebody/something",Researchers enhance the hypothesis through experimentation.,boost; augment; escalate; reinforce,Medium,Mid
exuberant,adjective,"full of energy, excitement and happiness",Her exuberant approach engaged students.,,Advanced,Low
implausible,adjective,not seeming reasonable or probable,The implausible policy gained bipartisan support.,,Advanced,Low
concerted,adjective,jointly arranged or carried out,His concerted attitude made him popular.,,Advanced,Low
rash,adjective,"reckless, hasty, imprudent, ill-considered n. an area of red spots on a person s skin",The rash design won industry awards.,,Core,High
commission,verb,"to officially ask somebody to write, make or create something or to do a task for you",Animals commission when environmental conditions change.,,Advanced,Low
subversive,adjective,revolutionary,Critics praised the subversive performance.,,Advanced,Low
ambiguity,noun,the state of having more than one possible meaning,The team's ambiguity determined the championship outcome.,,Advanced,Low
hinge,noun,"a piece of metal, plastic, etc. on which a door moves freely v. depend, be contingent",The hinge marked a turning point in civilization.,,Core,High
procrastinate,verb,"to delay doing something that you should do, usually because you do not want to do it",Doctors procrastinate treatment based on test results.,,Advanced,Low
antiquity,noun,"the state of being very old or ancient, especially the times of the Greeks and Romans",The antiquity affected quarterly earnings.,,Advanced,Low
genteel,adjective,"elegant or graceful in manner, appearance, or shape",The genteel results confirmed the theory.,,Medium,Mid
na,noun,"a lack of experience of life, knowledge or good judgement",The na plays a crucial role in student development.,,Core,High
compassion,noun,sympathetic consciousness of others' distress together with a desire to alleviate it,The compassion influenced voter turnout.,,Advanced,Low
exploit,verb,to make productive use of,She learned to exploit her daily routine.,,Medium,Mid
guild,noun,an organization of people who do the same job or who have the same interests or aims,This guild represents a breakthrough in computing.,,Core,High
noxious,adjective,physically harmful or destructive to living beings,The noxious landscape attracted tourists.,,Medium,Mid
durability,noun,the quality of being able to last for a long time without breaking or getting weaker,The durability inspired a new artistic movement.,,Advanced,Low
predominant,adjective,most obvious or easy to notice,The team's predominant strategy secured victory.,,Advanced,Low
vex,verb,"make feel annoyed, frustrated, or worried, especially with trivial matters",Historians vex primary sources for accuracy.,,Core,High
hinder,verb,hamper,Doctors hinder treatment based on test results.,,Medium,Mid
melancholy,adjective,a feeling of being very sad that lasts for a long time and often cannot be explained,The melancholy proposal impressed investors.,,Advanced,Low
behold,verb,,Researchers behold the hypothesis through experimentation.,,Medium,Mid
buffer,verb,"soften, lessen, mitigate, shield, cushion n. cushion, bulwark, shield, screen, guard",Teachers buffer student progress throughout the semester.,,Medium,Mid
genocide,noun,"the deliberate and systematic destruction of a racial, political, or cultural group",The genocide influenced voter turnout.,,Medium,Mid
obfuscate,verb,"to make something less clear and more difficult to understand, usually deliberately",She learned to obfuscate her daily routine.,confuse: fuscdark; fume()fuse(; ),Advanced,Low
decline,noun,"a continuous decrease v. to become smaller, fewer, weaker, etc.",This decline represents a breakthrough in computing.,,Medium,Mid
femininity,noun,the fact of being a woman,The femininity is essential for ecosystem balance.,,Advanced,Low
spew,verb,"to flow out quickly, or to make something flow out quickly, in large amounts",The artist chose to spew traditional techniques.,spit(),Core,High
corroborate,verb,confirm,Athletes must corroborate their training intensity.,,Advanced,Low
fashion,verb,to make or shape something,Historians fashion primary sources for accuracy.,,Medium,Mid
fume,verb,to be very angry about something,Doctors fume treatment based on test results.,,Core,High
scribble,noun,scrawl,The scribble affected quarterly earnings.,,Medium,Mid
indiscriminate,adjective,acting without careful judgement,The indiscriminate results confirmed the theory.,,Advanced,Low
aroma,noun,"a distinctive, typically pleasant smell",The aroma plays a crucial role in student development.,fragrance; odor,Core,High
entreat,verb,"beg, implore, to ask somebody to do something in a serious and often emotional way",The senator will entreat the proposed legislation.,,Medium,Mid
ardent,adjective,passionate,His ardent attitude made him popular.,,Medium,Mid
caution,noun,warning,This caution represents a breakthrough in computing.,,Medium,Mid
reckless,adjective,showing a lack of care about danger and the possible results of your actions,The reckless landscape attracted tourists.,,Medium,Mid
toss,verb,to throw something lightly or carelessly,The artist chose to toss traditional techniques.,,Core,High
invective,noun,rude language and unpleasant remarks that somebody shouts when they are very angry,The team's invective determined the championship outcome.,,Advanced,Low
spurious,adjective,FALSE,The spurious artifact revealed ancient practices.,specious (adj. ),Medium,Mid
window,noun,"a time when there is an opportunity to do something, although it may not last long",Understanding the window helps improve patient care.,,Medium,Mid
spleen,noun,a small organ near the stomach that controls the quality of the blood cells,The spleen affected quarterly earnings.,,Medium,Mid
spur,noun,"stimulus, incentive, inducement v. stimulate, prompt, motivate, galvanize, inspire",Scientists studied the spur under controlled conditions.,,Core,High
jaunty,adjective,cheerful,Her jaunty approach engaged students.,,Medium,Mid
dissent,noun,difference of opinion,The dissent influenced voter turnout.,,Medium,Mid
uniformly,adverb,evenly,She responded uniformly to the unexpected news.,,Advanced,Low
staple,adjective,"main or important, especially in terms of consumption n. basic food",The staple design won industry awards.,mainstay (); essential (; ),Medium,Mid
intercept,verb,to stop somebody/ something that is going,Animals intercept when environmental conditions change.,,Advanced,Low
trim,verb,to cut away unnecessary parts,The artist chose to trim traditional techniques.,embellish,Core,High
misgiving,noun,a feeling of doubt or apprehension about the outcome or consequences of something,The team's misgiving determined the championship outcome.,doubt; hesitation; concern,Advanced,Low
succulent,adjective,juicy,The succulent artifact revealed ancient practices.,,Advanced,Low
eclectic,adjective,not following one style or set of ideas but choosing,The eclectic symptoms indicated a rare condition.,,Medium,Mid
sedentary,adjective,spending a lot of time sitting down,The sedentary proposal impressed investors.,,Advanced,Low
persist,verb,to continue exist,Researchers persist the hypothesis through experimentation.,,Medium,Mid
ostensible,adjective,"apparent, seeming or stated to be real or true, when this is perhaps not the case",Her ostensible approach engaged students.,,Advanced,Low
untimely,adjective,happening or done at an unsuitable time,The untimely policy gained bipartisan support.,,Medium,Mid
reclaim,verb,retrieve or recover,She learned to reclaim her daily routine.,,Medium,Mid
strife,noun,n.conflict,Years of strife have torn the region apart.,,Medium,Mid
redolent,adjective,making you think of the thing mentioned,The redolent landscape attracted tourists.,,Medium,Mid
eradicate,verb,wipe out,The artist chose to eradicate traditional techniques.,,Advanced,Low
facade,noun,the front of a building,The team's facade determined the championship outcome.,,Medium,Mid
obsequious,adjective,servile,The obsequious artifact revealed ancient practices.,,Advanced,Low
amendment,noun,"a minor change or addition designed to improve a text, piece of legislation, etc.",Understanding the amendment helps improve patient care.,,Advanced,Low
sort,noun,"type, kind, group v. to arrange things in groups or in a particular order",The sort affected quarterly earnings.,,Core,High
backward,adjective,directed or moving towards the back,The backward results confirmed the theory.,,Medium,Mid
momentum,noun,the ability to keep increasing or developing,The momentum plays a crucial role in student development.,,Medium,Mid
elixir,noun,a magic liquid that is believed to cure illnesses or to make people live forever,The elixir influenced voter turnout.,panacea (); antidote(),Medium,Mid
choreographer,noun,a person who composes the sequence of steps and moves for a performance of dance,The choreographer made everyday tasks easier.,,Advanced,Low
advocacy,noun,"public support, advice and help given to an idea, a course of action or a belief",This advocacy represents a breakthrough in computing.,,Medium,Mid
long,verb,to want something very much especially if it does not seem likely to happen soon,Animals long when environmental conditions change.,,Core,High
obsession,noun,a persistent disturbing preoccupation with an often unreasonable idea or feeling,The obsession inspired a new artistic movement.,,Advanced,Low
obliterate,verb,"to remove all signs of something, either by destroying or covering it completely",Athletes must obliterate their training intensity.,,Advanced,Low
abstemious,adjective,"not allowing yourself to have much food or alcohol, or to do things that are fun",The abstemious artifact revealed ancient practices.,,Advanced,Low
mob,noun,"a large crowd of people, especially one that may become violent or cause trouble",Understanding the mob helps improve patient care.,,Core,High
reconcile,verb,restore friendly relations between,The company decided to reconcile its expansion plans.,,Advanced,Low
impressive,adjective,"evoking admiration through size, quality, or skill",The impressive results confirmed the theory.,,Advanced,Low
foretell,verb,"to know or say what will happen in the future, especially by using magic powers",Teachers foretell student progress throughout the semester.,,Medium,Mid
oddity,noun,a strange or peculiar person or thing,The oddity influenced voter turnout.,,Medium,Mid
desultory,adjective,going,His desultory attitude made him popular.,,Advanced,Low
regenerate,verb,"to make an area, institution, etc. develop and grow strong again",Engineers regenerate the system for optimal performance.,,Advanced,Low
reproach,noun,"rebuke, scolding, lecture, censure v. rebuke, reprimand, chide, blame, denounce",The reproach is essential for ecosystem balance.,,Medium,Mid
perish,verb,"die, especially in a violent or sudden way",The artist chose to perish traditional techniques.,,Medium,Mid
oblivion,noun,being forgotten,The team's oblivion determined the championship outcome.,,Medium,Mid
antipathy,noun,a strong feeling of dislike,The antipathy marked a turning point in civilization.,,Advanced,Low
rebuke,verb,to speak severely to somebody because they have done something wrong,Doctors rebuke treatment based on test results.,,Medium,Mid
vanish,verb,to disappear suddenly and/or in a way that you cannot explain,The company decided to vanish its expansion plans.,,Medium,Mid
unfold,verb,open or spread out,Researchers unfold the hypothesis through experimentation.,unwind,Medium,Mid
masculinity,noun,the fact of being a man,The masculinity plays a crucial role in student development.,,Advanced,Low
bulwark,noun,a person or thing that protects or defends something,The bulwark influenced voter turnout.,,Medium,Mid
retaliate,verb,to do something harmful to somebody because they have harmed you first,She learned to retaliate her daily routine.,,Advanced,Low
critique,noun,a detailed analysis and assessment v. evaluate in a detailed and analytical way,This critique represents a breakthrough in computing.,,Medium,Mid
census,noun,"the process of officially counting something, especially a country s population",The census is essential for ecosystem balance.,,Medium,Mid
fraud,noun,wrongful or criminal deception intended to result in financial or personal gain,The fraud inspired a new artistic movement.,,Core,High
rhetoric,noun,the art of speaking or writing effectively,The team's rhetoric determined the championship outcome.,,Medium,Mid
eminent,adjective,"famous and respected, especially in a particular profession",The eminent artifact revealed ancient practices.,,Medium,Mid
flout,verb,defy,Doctors flout treatment based on test results.,defy; scoff; mock,Core,High
fuel,verb,cause to burn more intensely,The company decided to fuel its expansion plans.,,Core,High
transgenic,adjective,genetically modified,The transgenic results confirmed the theory.,,Advanced,Low
deflect,verb,to turn aside especially,Teachers deflect student progress throughout the semester.,,Medium,Mid
impregnable,adjective,impenetrable,The impregnable policy gained bipartisan support.,,Advanced,Low
realm,noun,a country ruled by a king or queen,The realm made everyday tasks easier.,,Core,High
feign,verb,"to pretend that you have a particular feeling or that you are ill, tired, etc.",Engineers feign the system for optimal performance.,,Core,High
importune,verb,to ask somebody for something many times and in a way that is annoying,Animals importune when environmental conditions change.,entreat; beseech; implore; petition,Advanced,Low
backfire,verb,"to have the opposite effect to the one intended, with bad or dangerous results",The artist chose to backfire traditional techniques.,,Medium,Mid
gruelling,adjective,"very difficult and making you very tired, needing great effort for a long time",The team's gruelling strategy secured victory.,,Advanced,Low
hypochondriac,adjective,worrying so much that you may be or become ill that it badly affects your life,The hypochondriac artifact revealed ancient practices.,,Advanced,Low
elicit,verb,evoke or draw out,Doctors elicit treatment based on test results.,,Medium,Mid
deflated,adjective,having been emptied of air or gas,The deflated proposal impressed investors.,,Medium,Mid
underline,verb,to mark with a line underneath,Researchers underline the hypothesis through experimentation.,underscore; emphasize; highlight,Advanced,Low
proportional,noun,"or decreasing in size, amount or degree according to changes in something else",The proportional plays a crucial role in student development.,,Advanced,Low
scurry,verb,to run with quick short steps n. the action of running with quick short steps,The senator will scurry the proposed legislation.,hurry; rush hurry-scurry adj.,Medium,Mid
throng,noun,a crowd of people v. to go somewhere or be present somewhere in large numbers,The throng made everyday tasks easier.,,Medium,Mid
transitional,adjective,connected with the process of changing,The transitional design won industry awards.,,Advanced,Low
havoc,noun,"a situation in which things are seriously damaged, destroyed or very confused",The havoc is essential for ecosystem balance.,,Core,High
erudite,adjective,learned,Critics praised the erudite performance.,,Medium,Mid
labyrinth,noun,"a complicated series of paths, which it is difficult to find your way through",The team's labyrinth determined the championship outcome.,,Advanced,Low
pariah,noun,outcast,The pariah marked a turning point in civilization.,outcast,Medium,Mid
gist,noun,"the main or general meaning of a piece of writing, a speech or a conversation",Understanding the gist helps improve patient care.,core; nitty-gritty(; ); nutshell,Core,High
temperament,noun,"nature, disposition, character",The temperament affected quarterly earnings.,,Advanced,Low
crisscross,verb,to make a pattern on something with many straight lines that cross each other,Researchers crisscross the hypothesis through experimentation.,,Advanced,Low
greed,noun,"a strong desire for more wealth, possessions, power, etc. than a person needs",The greed plays a crucial role in student development.,,Core,High
harbinger,noun,"a sign that shows that something is going to happen soon, often something bad",The harbinger influenced voter turnout.,,Advanced,Low
protracted,adjective,lasting for a long time or longer than expected or usual,His protracted attitude made him popular.,,Advanced,Low
supervise,verb,observe and direct the execution of,Engineers supervise the system for optimal performance.,,Advanced,Low
pitfall,noun,"a danger or difficulty, especially one that is hidden or not obvious at first",The pitfall is essential for ecosystem balance.,,Medium,Mid
decentralized,adjective,controlled by several local offices or authorities rather than one single one,Critics praised the decentralized performance.,,Advanced,Low
rejuvenating,adjective,"making somebody or something look or feel younger, more lively or more modern",The team's rejuvenating strategy secured victory.,,Advanced,Low
grasp,noun,understanding,The grasp marked a turning point in civilization.,apprehension(; ),Core,High
volition,noun,free will,Understanding the volition helps improve patient care.,,Medium,Mid
congest,verb,crowd so as to hinder or prevent freedom of movement,The company decided to congest its expansion plans.,,Medium,Mid
maximum,adjective,"as large, fast, etc. as is possible n. the greatest amount, size, speed, etc.",The maximum results confirmed the theory.,,Medium,Mid
purist,noun,a person who insists on absolute adherence to traditional rules or structures,The purist plays a crucial role in student development.,,Medium,Mid
provision,noun,"term, requirement, specification",The provision influenced voter turnout.,,Advanced,Low
clash,noun,a violent confrontation,The clash made everyday tasks easier.,conflict; confrontation,Core,High
submit,verb,"put forward, present",Engineers submit the system for optimal performance.,,Medium,Mid
counteract,verb,to do something to reduce or prevent the bad or harmful effects of something,Animals counteract when environmental conditions change.,,Advanced,Low
sore,adjective,"painful, upset, intense n. wound",Critics praised the sore performance.,,Core,High
correlation,noun,a connection between two things in which one thing changes as the other does,The team's correlation determined the championship outcome.,,Advanced,Low
unresponsive,adjective,not giving the response that you would expect or hope for,The unresponsive artifact revealed ancient practices.,,Advanced,Low
premonition,noun,"a feeling that something is going to happen, especially something unpleasant",Understanding the premonition helps improve patient care.,,Advanced,Low
inherent,adjective,"existing in something as a permanent, essential, or characteristic attribute",The inherent proposal impressed investors.,,Medium,Mid
usurp,verb,to take somebody s position and/or power without having the right to do this,Researchers usurp the hypothesis through experimentation.,,Core,High
privilege,noun,a special right or advantage that a particular person or group of people has,The privilege plays a crucial role in student development.,,Advanced,Low
charlatan,noun,a person who claims to have knowledge or skills that they do not really have,The charlatan influenced voter turnout.,,Advanced,Low
allocate,verb,to give something officially to somebody/ something for a particular purpose,She learned to allocate her daily routine.,allot; assign; issue; apportion; distribute: collocate with,Medium,Mid
reverberate,verb,echo,Engineers reverberate the system for optimal performance.,,Advanced,Low
span,noun,"width, length, full extent",The span is essential for ecosystem balance.,,Core,High
heresy,noun,a belief or an opinion that disagrees strongly with what most people believe,The heresy inspired a new artistic movement.,,Medium,Mid
unremarkable,adjective,not particularly interesting or surprising,The team's unremarkable strategy secured victory.,,Advanced,Low
entity,noun,something that exists separately,The entity marked a turning point in civilization.,,Medium,Mid
groomed,adjective,used to describe the way in which a person cares for their clothes and hair,The groomed symptoms indicated a rare condition.,,Medium,Mid
constrict,verb,to make something tighter or narrower,The company decided to constrict its expansion plans.,,Advanced,Low
extraneous,adjective,having no relevance,The extraneous results confirmed the theory.,,Advanced,Low
cumbersome,adjective,unwieldy because of heaviness and bulk,Her cumbersome approach engaged students.,,Advanced,Low
outspoken,adjective,"saying exactly what you think, even if this shocks or offends people",The outspoken policy gained bipartisan support.,,Advanced,Low
welfare,noun,list of people who receives practical or financial help,The new policy aims to reform the welfare system.,,Medium,Mid
wrest,verb,"to gain with difficulty by or as if by force, violence, or determined labor",Engineers wrest the system for optimal performance.,,Core,High
ubiquitous,adjective,seeming to be everywhere or in several places at the same time,The ubiquitous landscape attracted tourists.,,Advanced,Low
drought,noun,"prolonged period of abnormally low rainfall, leading to a shortage of water",The drought inspired a new artistic movement.,,Medium,Mid
catalog,verb,to give a list of things,Athletes must catalog their training intensity.,,Medium,Mid
enigma,noun,"a person, thing or situation that is mysterious and difficult to understand",The enigma marked a turning point in civilization.,,Medium,Mid
savvy,adjective,"sharp-witted, perceptive, shrewd n. wit, common sense, insight, penetration",The savvy symptoms indicated a rare condition.,,Core,High
sullen,adjective,in a bad mood and not speaking,The sullen proposal impressed investors.,,Medium,Mid
feudal,adjective,connected with or similar to feudalism,The feudal results confirmed the theory.,,Medium,Mid
touchy,adjective,easily offended,Her touchy approach engaged students.,,Medium,Mid
referendum,noun,an occasion when all the people of a country can vote on an important issue,The referendum influenced voter turnout.,,Advanced,Low
nominal,adjective,"being something in name only, and not in reality",His nominal attitude made him popular.,,Medium,Mid
instrumental,adjective,"active, influential, contributory",The instrumental design won industry awards.,,Advanced,Low
prism,noun,"a clear glass or plastic object, often with ends in the shape of a triangle",The prism is essential for ecosystem balance.,,Core,High
annals,noun,an official record of events or activities year by year,The annals inspired a new artistic movement.,,Medium,Mid
